" Продажи по группам (с ассортиментом)" ;" " ;" " ;" " ;" " ;" " ;" " ;" " 
" Виски" ;" 4563" ;" віскі Jantlemen Jack 0.7под." ;" 1" ;" 769,00" ;" " ;" " ;" 769,00" 
" Виски" ;" 4667" ;" віскі ABERLOUR 0.7" ;" 1" ;" 1 468,00" ;" " ;" " ;" 1 468,00" 
" Виски" ;" 4741" ;" Віскі Highland Park 0.7" ;" 1" ;" 1 458,00" ;" " ;" " ;" 1 458,00" 
" Водка" ;" 673" ;" Водка Зеленая марка Кедровая 0.5" ;" 6" ;" 420,00" ;" " ;" " ;" 420,00" 
" Водка" ;" 1127" ;" водка Киев 0,75" ;" 1" ;" 218,00" ;" " ;" " ;" 218,00" 
" Водка" ;" 1249" ;" водка Зубровка 0.5" ;" 1" ;" 88,00" ;" " ;" " ;" 88,00" 
" Водка" ;" 1307" ;" водка Зубровка 0,5(бялая)" ;" 1" ;" 76,50" ;" " ;" " ;" 76,50" 
" Водка" ;" 1418" ;" "Козацька Рада"перцовка 0.5" ;" 1" ;" 70,00" ;" " ;" " ;" 70,00" 
" Водка" ;" 1596" ;" горілка "Дика Утка"0.5" ;" 2" ;" 152,60" ;" " ;" " ;" 152,60" 
" Водка" ;" 1598" ;" горілка "Дика Утка Пущанская"0.5" ;" 6" ;" 420,00" ;" " ;" " ;" 420,00" 
" Водка" ;" 2141" ;" горілка Мороша Джерельна 0.5" ;" 1" ;" 70,00" ;" " ;" " ;" 70,00" 
" Водка" ;" 2142" ;" горілка Мороша Джерельна 0.7" ;" 5" ;" 490,00" ;" " ;" " ;" 490,00" 
" Водка" ;" 2620" ;" горілка "Менс Клуб"0.7" ;" 1" ;" 102,00" ;" " ;" " ;" 102,00" 
" Водка" ;" 2996" ;" горілка "Медофф"клас.0.7" ;" 1" ;" 98,00" ;" " ;" " ;" 98,00" 
" Водка" ;" 3040" ;" горілка Царська золота 0.5" ;" 2" ;" 566,00" ;" " ;" " ;" 566,00" 
" Водка" ;" 3152" ;" горілка Первачок 0.25 житній" ;" 3" ;" 105,00" ;" " ;" " ;" 105,00" 
" Водка" ;" 3190" ;" горілка Неміров штоф 0.5" ;" 4" ;" 280,00" ;" " ;" " ;" 280,00" 
" Водка" ;" 3266" ;" Горілка Финляндія 0.5 (грейф)" ;" 1" ;" 197,00" ;" " ;" " ;" 197,00" 
" Водка" ;" 3317" ;" горілка Зубровка бялая 0.7" ;" 1" ;" 107,00" ;" " ;" " ;" 107,00" 
" Водка" ;" 3328" ;" горілка Каз.Рада 0.5 "особлива"" ;" 2" ;" 140,00" ;" " ;" " ;" 140,00" 
" Водка" ;" 3371" ;" горілка Граппа №1 0,5" ;" 3" ;" 319,50" ;" " ;" " ;" 319,50" 
" Водка" ;" 3422" ;" горілка Неміров штоф 1л" ;" 1" ;" 140,00" ;" " ;" " ;" 140,00" 
" Водка" ;" 3494" ;" горілка Медофф Корол.0.7" ;" 2" ;" 196,60" ;" " ;" " ;" 196,60" 
" Водка" ;" 3598" ;" горілка Медофф классік 0.5" ;" 1" ;" 70,00" ;" " ;" " ;" 70,00" 
" Водка" ;" 3642" ;" горілка Прайм Еволюція 0.5" ;" 1" ;" 70,00" ;" " ;" " ;" 70,00" 
" Водка" ;" 3648" ;" горілка Роял 0.5" ;" 2" ;" 140,00" ;" " ;" " ;" 140,00" 
